real_sentence,target_word,mean_accuracy,mean_confidence.,mean_num_words_revealed,target_word_position,mean_rt_before_guess,real_passage,jabber_passage,unmasked_ff_entropy,baseline_entropy,greedy_words,greedy_indices,greedy_entropy,greedy_ig
"A battered object sat on a dusty table, its faded surface hinting at its past. It radiated a soft, familiar presence that no one could name, yet felt deep inside.",dusty,0.299893450466069,1.98245614035088,7.40350877192983,6,37554.4035087719,"A battered object sat on a dusty table, its faded surface hinting at its past. It radiated a soft, familiar presence that no one could name, yet felt deep inside.","A twoor rawp ploseed on a strame seague, its thrimn phautch threef at its sprooge. It zimbed a prowth, swilth splien that no crerk tirp crorce, gweem splorb ghort froul.",3.6307561,6.801248,"[""table,"", ""sat"", ""familiar"", ""battered"", ""object"", ""hinting"", ""radiated"", ""presence"", ""faded"", ""past."", ""yet"", ""felt"", ""one"", ""could"", ""deep""]","[7, 3, 19, 1, 2, 11, 16, 20, 9, 14, 26, 27, 23, 24, 28]","[4.564175, 3.686627, 3.392707, 3.087437, 2.75884, 2.315336, 2.083196, 1.974844, 1.959509, 2.044431, 2.081789, 2.053787, 2.04191, 2.053062, 2.148417]","[2.237073, 0.877548, 0.29392, 0.30527, 0.328597, 0.443504, 0.23214, 0.108352, 0.015334, -0.084922, -0.037358, 0.028002, 0.011877, -0.011152, -0.095356]"
A breathtaking array of colors was produced by the setting sun. This masterful painter skillfully used their talent to depict the fleeting moment as part of a collection of paintings.,paintings,0.429405279863964,2.05454545454545,7.74545454545455,29,52664.6363636364,A breathtaking array of colors was produced by the setting sun. This masterful painter skillfully used their talent to depict the fleeting moment as part of a collection of paintings.,A scrase scoosh of spimns was snisped by the gheint crerv. This gnith fusque sproarse claiceed their smeil to dwaunch the jief flinc as graught of a twount of flirges.,4.3894305,1.12175,"[""sun."", ""fleeting"", ""painter"", ""moment"", ""part"", ""breathtaking"", ""used"", ""setting"", ""skillfully"", ""array"", ""talent"", ""colors"", ""masterful"", ""produced"", ""depict""]","[10, 21, 13, 22, 24, 1, 15, 9, 14, 2, 17, 4, 12, 6, 19]","[0.734988, 0.518957, 0.367388, 0.210055, 0.166609, 0.149228, 0.094087, 0.087715, 0.100843, 0.11783, 0.20027, 0.2387, 0.226411, 0.259091, 0.333187]","[0.386761, 0.216031, 0.151569, 0.157333, 0.043445, 0.017381, 0.055142, 0.006372, -0.013128, -0.016987, -0.08244, -0.03843, 0.012289, -0.03268, -0.074096]"
A breathtaking display of color filled the canvas of the sunset with its diverse hues.,hues,0.53638706882966,2.23728813559322,4.11864406779661,14,28264.8813559322,A breathtaking display of color filled the canvas of the sunset with its diverse hues.,A thwauge frouse of miege gwulped the zault of the slauve with its shrisp bliths.,2.0705924,0.392297,"[""filled"", ""breathtaking"", ""sunset"", ""color"", ""display"", ""canvas"", ""diverse""]","[5, 1, 10, 4, 2, 7, 13]","[0.128887, 0.102567, 0.091512, 0.080554, 0.077591, 0.07967, 0.206378]","[0.263411, 0.02632, 0.011055, 0.010958, 0.002964, -0.002079, -0.126709]"
"A breathtaking display of colors emerged from the setting sun, its luminous hues staining every corner of the canvas above.",hues,0.351737260561565,2.20338983050848,5.22033898305085,12,30821.2881355932,"A breathtaking display of colors emerged from the setting sun, its luminous hues staining every corner of the canvas above.","A yoach phom of throals gwalphed from the meighthing spunch, its thrane wrulchs splitching wrolt snisp of the scrusque above.",2.0903893,7.195931,"[""staining"", ""luminous"", ""emerged"", ""every"", ""corner"", ""breathtaking"", ""colors"", ""sun,"", ""setting"", ""display"", ""canvas""]","[13, 11, 5, 14, 15, 1, 4, 9, 8, 2, 18]","[5.647829, 4.523217, 3.628192, 3.244487, 3.083712, 3.131124, 3.22165, 3.435997, 3.420177, 3.468675, 3.728448]","[1.548103, 1.124611, 0.895025, 0.383705, 0.160774, -0.047412, -0.090526, -0.214347, 0.01582, -0.048498, -0.259773]"
A fiery masterpiece of color was created by the setting sun. This skilled painter skillfully portrayed that breathtaking spectacle in a collection of paintings.,paintings,0.440895375060408,1.93220338983051,5.71186440677966,23,37592.3050847458,A fiery masterpiece of color was created by the setting sun. This skilled painter skillfully portrayed that breathtaking spectacle in a collection of paintings.,A voun phloap of neke was spurbed by the ferb slawse. This snelve bronk twotch chuthed that ghez flurge in a splurk of snuths.,4.3319626,0.941179,"[""sun."", ""created"", ""fiery"", ""color"", ""spectacle"", ""setting"", ""painter"", ""masterpiece"", ""skilled"", ""portrayed"", ""skillfully"", ""breathtaking"", ""collection""]","[10, 6, 1, 4, 18, 9, 13, 2, 12, 15, 14, 17, 21]","[0.71002, 0.536329, 0.495449, 0.518486, 0.56032, 0.585709, 0.59842, 0.624564, 0.653737, 0.676985, 0.640067, 0.785424, 0.888546]","[0.231159, 0.173691, 0.04088, -0.023037, -0.041834, -0.025389, -0.01271, -0.026144, -0.029173, -0.023247, 0.036918, -0.145357, -0.103123]"
"A frail woman, bent with age, shuffled toward the bustling city park, clutching a worn leather purse that smelled faintly of lavender. Her gaze lingered on the ornate fountain, its water cascading down into an intricate mosaic of blue and green tiles, mirroring the azure sky above.",woman,0.633884404625358,2.30508474576271,8.64406779661017,2,24756.3050847458,"A frail woman, bent with age, shuffled toward the bustling city park, clutching a worn leather purse that smelled faintly of lavender. Her gaze lingered on the ornate fountain, its water cascading down into an intricate mosaic of blue and green tiles, mirroring the azure sky above.","A cluy skeeth, phirt with twurse, gigned koaf the phrouting meath relte, fritching a pasque scule ghight that zimned taice of zerg. Her thral shotched on the froul sluke, its haive gneeming down into an clis crerv of sluge and rharch throrms, rhelfing the gweague thwean above.",3.1115863,7.020077,"[""clutching"", ""frail"", ""shuffled"", ""worn"", ""lavender."", ""gaze"", ""mosaic"", ""leather"", ""city"", ""bustling"", ""faintly"", ""sky"", ""lingered"", ""intricate"", ""blue""]","[12, 1, 6, 14, 21, 23, 36, 15, 10, 9, 19, 45, 24, 35, 38]","[2.559046, 1.690037, 1.175536, 1.004119, 0.866952, 0.735505, 0.668341, 0.622281, 0.567966, 0.535415, 0.516124, 0.493923, 0.489767, 0.491331, 0.488503]","[4.461031, 0.869009, 0.5145, 0.171417, 0.137167, 0.131447, 0.067164, 0.04606, 0.054315, 0.032551, 0.019291, 0.022202, 0.004156, -0.001564, 0.002828]"
A howling gale whipped up rain that pounded against the rocks. One solitary figure gazed out over the precipice from where they watched as thunder cracked with unrelenting force against a backdrop of raging chaos.,figure,0.174983933118397,2.01694915254237,8.01694915254237,13,34088.9661016949,A howling gale whipped up rain that pounded against the rocks. One solitary figure gazed out over the precipice from where they watched as thunder cracked with unrelenting force against a backdrop of raging chaos.,A loileing plorge spraubed up trewt that clooshed against the blouges. Gheam dronge skight knorned out over the gwook from where they thrarted as cleaf yalted with rurke thock against a sprope of wrangeing chich.,1.1922146,5.26484,"[""howling"", ""cracked"", ""One"", ""pounded"", ""force"", ""backdrop"", ""chaos."", ""unrelenting"", ""raging"", ""thunder"", ""watched"", ""gazed"", ""gale"", ""rain"", ""whipped""]","[1, 25, 11, 7, 28, 31, 34, 27, 33, 24, 22, 14, 2, 5, 3]","[4.165125, 3.546045, 2.953887, 2.603243, 2.526255, 2.506097, 2.563622, 2.632894, 2.805609, 2.993809, 3.185292, 2.85141, 2.590794, 2.333052, 2.601709]","[1.099715, 0.61908, 0.592157, 0.350644, 0.076988, 0.020158, -0.057524, -0.069272, -0.172715, -0.1882, -0.191483, 0.333883, 0.260616, 0.257742, -0.268656]"
"A howling wind ripped its way through the forest, sending shivers down your spine with its ferocious sound. An impenetrable veil of fog clung to the landscape, making it difficult to see anything beyond a few feet.",fog,0.464624007113955,2.15789473684211,7.33333333333333,22,34592.7368421053,"A howling wind ripped its way through the forest, sending shivers down your spine with its ferocious sound. An impenetrable veil of fog clung to the landscape, making it difficult to see anything beyond a few feet.","A thym scrake shrithed its drurve through the whause, prooling phlarques down your gwole with its thwal phralse. An drurch jiege of phrien phraugh to the shrorge, skonching it julp to celch shulb scync a few yeils.",2.0409768,6.927399,"[""clung"", ""veil"", ""landscape,"", ""feet."", ""difficult"", ""sound."", ""howling"", ""see"", ""forest,"", ""anything"", ""shivers"", ""making"", ""way"", ""wind"", ""spine""]","[23, 20, 26, 36, 29, 17, 1, 31, 8, 32, 10, 27, 5, 2, 13]","[5.913719, 5.644009, 4.75072, 3.962281, 3.337374, 2.83137, 2.612239, 2.43929, 2.260962, 2.082448, 1.96335, 1.9101, 1.875033, 1.88399, 1.892936]","[1.01368, 0.26971, 0.89329, 0.788438, 0.624907, 0.506003, 0.219131, 0.172949, 0.178327, 0.178514, 0.119098, 0.05325, 0.035067, -0.008957, -0.008947]"
"A neglected book sat on a dusty armoire, its aged cover and fragile pages giving it an ancient appearance. The scent of old paper lingered in the room.",dusty,0.388240226383867,2.11666666666667,5.81666666666667,6,40772.9333333333,"A neglected book sat on a dusty armoire, its aged cover and fragile pages giving it an ancient appearance. The scent of old paper lingered in the room.","A dramp slooch shrarced on a rhorque strawn, its wrulched knaff and gheam plaiths grysing it an sloint skarse. The gnith of lerg scush nalphed in the phrus.",1.4298105,7.309884,"[""sat"", ""book"", ""room."", ""fragile"", ""ancient"", ""neglected"", ""aged"", ""appearance."", ""old"", ""paper"", ""giving"", ""cover"", ""lingered"", ""scent"", ""pages""]","[3, 2, 27, 12, 17, 1, 9, 18, 22, 23, 14, 10, 24, 20, 13]","[4.945496, 2.213558, 1.908375, 1.780844, 1.637157, 1.601285, 1.573253, 1.556415, 1.569192, 1.573148, 1.594381, 1.620087, 1.651113, 1.691917, 1.82025]","[2.364388, 2.731938, 0.305183, 0.127531, 0.143687, 0.035873, 0.028031, 0.016839, -0.012778, -0.003956, -0.021232, -0.025706, -0.031026, -0.040804, -0.128333]"
A raging storm ravaged the nearby forest as howling winds caused a cacophony of noise inside the house. A thick curtain of fog descended upon the town leaving nothing in its wake.,fog,0.400789244447724,2.26666666666667,8.21666666666667,22,42227.1,A raging storm ravaged the nearby forest as howling winds caused a cacophony of noise inside the house. A thick curtain of fog descended upon the town leaving nothing in its wake.,A uzzing julge snished the droaf peighth as flyming loiles swoaned a jealt of phrawp strame the skute. A geathe knurge of crurp rharveed gheck the gwork palphing fraif in its phrus.,1.2082415,4.659382,"[""house."", ""forest"", ""town"", ""cacophony"", ""nearby"", ""curtain"", ""descended"", ""nothing"", ""howling"", ""thick"", ""inside"", ""upon"", ""noise"", ""caused"", ""ravaged""]","[17, 6, 26, 12, 5, 20, 23, 28, 8, 19, 15, 24, 14, 10, 3]","[4.154344, 4.243717, 4.318168, 4.644176, 5.517877, 5.403552, 4.251224, 3.401043, 2.861307, 2.613171, 2.467127, 2.303896, 2.239106, 2.185036, 2.132721]","[0.505038, -0.089373, -0.074451, -0.326008, -0.873701, 0.114325, 1.152328, 0.850181, 0.539736, 0.248136, 0.146044, 0.163231, 0.06479, 0.05407, 0.052315]"
"A stormy display unfolded before a solitary figure perched upon the precipice. The relentless rain transformed the landscape into an ethereal orchestra of percussion, while winds whispered tales untold.",figure,0.173062565204288,2.14285714285714,7.01785714285714,7,42300.5357142857,"A stormy display unfolded before a solitary figure perched upon the precipice. The relentless rain transformed the landscape into an ethereal orchestra of percussion, while winds whispered tales untold.","A shouch swerm snarched before a phautch rhuth sarced kolf the pheuth. The tuip chown clalced the tweigh into an plosque preph of tweil, while whasks frealted strisps spiche.",3.397266,7.502956,"[""perched"", ""percussion,"", ""unfolded"", ""rain"", ""winds"", ""orchestra"", ""ethereal"", ""display"", ""whispered"", ""untold."", ""landscape"", ""transformed"", ""relentless"", ""upon"", ""tales""]","[8, 23, 3, 14, 25, 21, 20, 2, 26, 28, 17, 15, 13, 9, 27]","[5.907369, 4.070234, 2.31349, 1.964518, 1.630506, 1.515587, 1.425407, 1.32582, 1.292951, 1.35035, 1.473638, 1.49033, 1.477598, 1.433447, 1.447268]","[1.595587, 1.837135, 1.756743, 0.348973, 0.334011, 0.114919, 0.09018, 0.099587, 0.032869, -0.057399, -0.123288, -0.016692, 0.012732, 0.044152, -0.013821]"
